_id,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Start Year,Start Month,Start Day,Quartile Range
6632fce493e8839926d41cbf,"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,19.4,19,19.8,19.0 - 19.8,2020,8,19,
6632fce493e8839926d41cc0,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,18.7,17.2,20.3,17.2 - 20.3,2020,8,19,
6632fce493e8839926d41cc1,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,18.3,17.3,19.2,17.3 - 19.2,2020,8,19,
6632fce493e8839926d41cc2,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,20.4,19.5,21.3,19.5 - 21.3,2020,8,19,
6632fce493e8839926d41cc3,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,21.2,20.2,22.2,20.2 - 22.2,2020,8,19,
6632fce493e8839926d41cc4,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,19.7,18.7,20.7,18.7 - 20.7,2020,8,19,
6632fce493e8839926d41cc5,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,18.4,17,19.9,17.0 - 19.9,2020,8,19,
6632fce493e8839926d41cc6,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,13.8,11,17,11.0 - 17.0,2020,8,19,
6632fce493e8839926d41cc7,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,13.7,13,14.3,13.0 - 14.3,2020,8,19,
6632fce493e8839926d41cc8,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,24.6,24,25.2,24.0 - 25.2,2020,8,19,
6632fce493e8839926d41cc9,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,11.6,11.2,12.1,11.2 - 12.1,2020,8,19,
6632fce493e8839926d41cca,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,33,32.1,33.9,32.1 - 33.9,2020,8,19,
6632fce493e8839926d41ccb,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,13.8,12.6,15,12.6 - 15.0,2020,8,19,
6632fce493e8839926d41ccc,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,22.5,22.1,23,22.1 - 23.0,2020,8,19,
6632fce493e8839926d41ccd,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,12.6,11.4,13.9,11.4 - 13.9,2020,8,19,
6632fce493e8839926d41cce,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,8.1,6.9,9.4,6.9 - 9.4,2020,8,19,
6632fce493e8839926d41ccf,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,22.1,19.3,25.2,19.3 - 25.2,2020,8,19,
6632fce493e8839926d41cd0,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,17.4,14.9,20.1,14.9 - 20.1,2020,8,19,
6632fce493e8839926d41cd1,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,18.1,17.2,19.1,17.2 - 19.1,2020,8,19,
6632fce493e8839926d41cd2,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,21,20.2,21.8,20.2 - 21.8,2020,8,19,
6632fce493e8839926d41cd3,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19T00:00:00.000Z,2020-08-31T00:00:00.000Z,19.4,19,19.9,19.0 - 19.9,2020,8,19,
