Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Start Year,Start Quarter,Start Month,Start Day
13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,2020,3,8,19
14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,2020,3,9,2
15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,2020,3,9,16
16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,2020,3,9,30
17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,2020,4,10,14
18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,2020,4,10,28
19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,2020,4,11,11
20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,2020,4,11,25
21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,2020,4,12,9
22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,2021,1,1,6
23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,2021,1,1,20
24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,2021,1,2,3
25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,2021,1,2,17
26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,2021,1,3,3
27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,2021,1,3,17
28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,2021,2,4,14
29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,2021,2,4,28
30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,2021,2,5,12
31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,2021,2,5,26
32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,2021,2,6,9
33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,2021,2,6,23
34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,2021,3,7,21
35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,2021,3,8,4
36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,2021,3,8,18
37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,2021,3,9,1
38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,2021,3,9,15
39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,2021,3,9,29
40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,2021,4,12,1
41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,2021,4,12,29
42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,2022,1,1,26
43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,2022,1,3,2
44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,2022,1,3,30
45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,2022,2,4,27
