Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Start Year,Start Month,Start Day,Start Quarter,CI_Sum
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.4,19.0,19.8,19.0 - 19.8,Unknown,2020,8,19,3,38.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.7,17.2,20.3,17.2 - 20.3,Unknown,2020,8,19,3,37.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.3,17.3,19.2,17.3 - 19.2,Unknown,2020,8,19,3,36.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,20.4,19.5,21.3,19.5 - 21.3,Unknown,2020,8,19,3,40.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.2,20.2,22.2,20.2 - 22.2,Unknown,2020,8,19,3,42.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.7,18.7,20.7,18.7 - 20.7,Unknown,2020,8,19,3,39.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.4,17.0,19.9,17.0 - 19.9,Unknown,2020,8,19,3,36.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.8,11.0,17.0,11.0 - 17.0,Unknown,2020,8,19,3,28.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Male,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.7,13.0,14.3,13.0 - 14.3,Unknown,2020,8,19,3,27.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,United States,Female,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,24.6,24.0,25.2,24.0 - 25.2,Unknown,2020,8,19,3,49.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,11.6,11.2,12.1,11.2 - 12.1,Unknown,2020,8,19,3,23.299999999999997
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,33.0,32.1,33.9,32.1 - 33.9,Unknown,2020,8,19,3,66.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,13.8,12.6,15.0,12.6 - 15.0,Unknown,2020,8,19,3,27.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.5,22.1,23.0,22.1 - 23.0,Unknown,2020,8,19,3,45.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,12.6,11.4,13.9,11.4 - 13.9,Unknown,2020,8,19,3,25.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,8.1,6.9,9.4,6.9 - 9.4,Unknown,2020,8,19,3,16.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,22.1,19.3,25.2,19.3 - 25.2,Unknown,2020,8,19,3,44.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,17.4,14.9,20.1,14.9 - 20.1,Unknown,2020,8,19,3,35.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,18.1,17.2,19.1,17.2 - 19.1,Unknown,2020,8,19,3,36.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,21.0,20.2,21.8,20.2 - 21.8,Unknown,2020,8,19,3,42.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,19.4,19.0,19.9,19.0 - 19.9,Unknown,2020,8,19,3,38.9
